編號,地震時間,經度,緯度,深度,規模,震央位置
小區域,2018/9/12 上午 03:58:00,120.77,22.19,7.9,3,屏東縣政府南偏東方  61.5  公里 (位於屏東縣牡丹鄉)
小區域,2018/9/12 上午 03:42:00,120.77,22.19,7.1,2.9,屏東縣政府南偏東方  61.4  公里 (位於屏東縣牡丹鄉)
120   ,2018/9/11 下午 12:43:00,121.52,23.87,10.3,4.5,花蓮縣政府西南方  16.4  公里 (位於花蓮縣壽豐鄉)
119   ,2018/9/9 下午 09:16:00,121.61,23.93,44.6,4.6,花蓮縣政府南方  6.3  公里 (位於花蓮縣近海)
小區域,2018/9/9 下午 09:11:00,120.2,23.02,13.7,2.9,臺南市政府北偏東方  3.6  公里 (位於臺南市北區)
小區域,2018/9/9 下午 06:33:00,120.99,24,17.5,3.5,南投縣政府東偏北方  32.1  公里 (位於南投縣埔里鎮)
118   ,2018/9/8 下午 02:50:00,121.72,24.31,26.5,4.4,花蓮縣政府北偏東方  36.7  公里 (位於花蓮縣秀林鄉)
小區域,2018/9/7 下午 04:15:00,120.98,24.71,10.4,2,新竹縣政府南偏西方  13.5  公里 (位於新竹縣峨眉鄉)
小區域,2018/9/6 上午 12:20:00,120.75,23.16,5.8,2.9,高雄市政府東北方  74.3  公里 (位於高雄市桃源區)
小區域,2018/9/5 下午 01:55:00,120.91,23.8,18.3,3.4,南投縣政府東偏南方  25.4  公里 (位於南投縣水里鄉)
小區域,2018/9/5 上午 01:53:00,122.05,23.51,32.8,4.3,花蓮縣政府東南方  68.9  公里 (位於臺灣東部海域)
小區域,2018/9/5 上午 01:45:00,121.01,24.67,6.4,2.2,新竹縣政府南方  17.6  公里 (位於新竹縣峨眉鄉)
小區域,2018/9/4 上午 12:37:00,121.99,24.83,89.8,4.3,宜蘭縣政府東偏北方  25.9  公里 (位於臺灣東部海域)
117   ,2018/9/3 下午 01:59:00,121.54,24.09,19.7,4.4,花蓮縣政府西北方  13.9  公里 (位於花蓮縣秀林鄉)
小區域,2018/8/31 上午 04:14:00,122.31,24.72,100.5,4.6,宜蘭縣政府東方  55.6  公里 (位於臺灣東部海域)
小區域,2018/8/30 下午 02:38:00,120.18,23.01,12.4,2.5,臺南市政府北方  1.9  公里 (位於臺南市北區)
小區域,2018/8/30 上午 04:36:00,121.47,23.87,16.5,3.7,花蓮縣政府西南方  20.4  公里 (位於花蓮縣壽豐鄉)
小區域,2018/8/30 上午 03:53:00,122.41,24.82,15.2,4.5,宜蘭縣政府東方  66.0  公里 (位於臺灣東部海域)
小區域,2018/8/29 上午 05:21:00,121.55,23.54,29.1,3.9,花蓮縣政府南方  50.1  公里 (位於花蓮縣近海)
小區域,2018/8/28 下午 01:39:00,120.47,23.12,15.5,3.4,臺南市政府東偏北方  32.2  公里 (位於臺南市玉井區)
小區域,2018/8/26 下午 09:44:00,120.2,23.01,13.3,3.5,臺南市政府東北方  2.3  公里 (位於臺南市北區)
小區域,2018/8/26 下午 09:36:00,120.2,23.01,14.2,2.7,臺南市政府北偏東方  2.9  公里 (位於臺南市北區)
小區域,2018/8/26 下午 09:19:00,120.2,23.01,14.1,3.4,臺南市政府北偏東方  2.1  公里 (位於臺南市北區)
小區域,2018/8/26 下午 04:20:00,120.7,23.11,5.9,3.8,高雄市政府東北方  66.9  公里 (位於高雄市六龜區)
小區域,2018/8/24 上午 06:49:00,120.66,22.65,27,3.8,屏東縣政府東方  18.5  公里 (位於屏東縣泰武鄉)
小區域,2018/8/23 下午 02:22:00,121,23.98,16.2,3.6,南投縣政府東偏北方  32.6  公里 (位於南投縣埔里鎮)
116   ,2018/8/23 上午 04:30:00,121.57,22.88,18.7,4.2,臺東縣政府東偏北方  45.3  公里 (位於臺灣東南部海域)
小區域,2018/8/22 下午 11:59:00,121,23.98,16.3,3.7,南投縣政府東偏北方  32.3  公里 (位於南投縣埔里鎮)
小區域,2018/8/22 下午 12:23:00,122.06,24.9,14.7,3.9,宜蘭縣政府東偏北方  35.3  公里 (位於臺灣東部海域)
小區域,2018/8/20 下午 10:44:00,121,24,16.7,3.4,南投縣政府東偏北方  33.0  公里 (位於南投縣埔里鎮)
小區域,2018/8/20 下午 09:27:00,121,23.99,17,3.9,南投縣政府東偏北方  32.7  公里 (位於南投縣埔里鎮)
小區域,2018/8/19 上午 03:45:00,121.51,23.73,7.6,2.1,花蓮縣政府南偏西方  31.0  公里 (位於花蓮縣鳳林鎮)
小區域,2018/8/18 下午 04:28:00,121.89,24.45,21.9,2.9,宜蘭縣政府南偏東方  33.3  公里 (位於宜蘭縣近海)
小區域,2018/8/18 下午 12:14:00,121.01,24.02,17.8,2.5,南投縣政府東偏北方  35.3  公里 (位於南投縣埔里鎮)
小區域,2018/8/18 上午 10:30:00,121.02,24.02,18.8,3.7,南投縣政府東偏北方  35.6  公里 (位於南投縣埔里鎮)
小區域,2018/8/18 上午 09:23:00,121,24.01,16.8,2.3,南投縣政府東偏北方  33.6  公里 (位於南投縣埔里鎮)
115   ,2018/8/18 上午 09:01:00,121,24.01,17.5,4.2,南投縣政府東偏北方  33.5  公里 (位於南投縣埔里鎮)
小區域,2018/8/18 上午 08:21:00,121.01,24.01,17.1,3.2,南投縣政府東偏北方  34.2  公里 (位於南投縣埔里鎮)
小區域,2018/8/18 上午 08:16:00,121.01,24.01,18.2,3.5,南投縣政府東偏北方  34.5  公里 (位於南投縣埔里鎮)
114   ,2018/8/18 上午 08:15:00,121,24.02,19.1,5.1,南投縣政府東偏北方  34.4  公里 (位於南投縣仁愛鄉)
小區域,2018/8/18 上午 07:40:00,121.03,23.99,15.4,3,南投縣政府東偏北方  36.3  公里 (位於南投縣埔里鎮)
