編號,地震時間,經度,緯度,深度,規模,震央位置
小區域,2018/4/4 上午 05:00:00,121.71,24.26,12.1,2.8,花蓮縣政府北偏東方  30.8  公里 (位於花蓮縣秀林鄉)
077   ,2018/4/2 上午 12:02:00,120.85,23.82,29.6,4.5,南投縣政府東偏南方  18.4  公里 (位於南投縣水里鄉)
小區域,2018/3/31 下午 03:27:00,120.65,22.87,16.6,3.6,屏東縣政府東北方  26.2  公里 (位於屏東縣三地門鄉)
小區域,2018/3/30 下午 09:52:00,121.57,24.08,14.7,2.7,花蓮縣政府北偏西方  10.7  公里 (位於花蓮縣秀林鄉)
小區域,2018/3/30 上午 06:56:00,121.81,24.23,18,3.2,花蓮縣政府東北方  33.1  公里 (位於臺灣東部海域)
小區域,2018/3/29 下午 12:31:00,120.45,23.18,10.2,3.4,嘉義市政府南方  32.9  公里 (位於臺南市玉井區)
小區域,2018/3/29 上午 09:05:00,121,24,10,3.3,南投縣政府東偏北方  33.4  公里 (位於南投縣埔里鎮)
小區域,2018/3/29 上午 08:24:00,121.01,24,10.5,3.8,南投縣政府東偏北方  34.2  公里 (位於南投縣埔里鎮)
076   ,2018/3/29 上午 08:17:00,121.01,24,11.1,5,南投縣政府東偏北方  34.9  公里 (位於南投縣埔里鎮)
小區域,2018/3/28 下午 08:39:00,120.61,23.54,9.5,2.9,嘉義市政府東偏北方  17.2  公里 (位於嘉義縣梅山鄉)
075   ,2018/3/28 下午 06:29:00,121.98,24.65,63.7,4.9,宜蘭縣政府東偏南方  23.4  公里 (位於臺灣東部海域)
小區域,2018/3/28 下午 12:20:00,121.86,24.48,10.8,2.7,宜蘭縣政府南偏東方  29.5  公里 (位於宜蘭縣近海)
小區域,2018/3/28 上午 11:31:00,121.5,24.4,7.1,3.3,宜蘭縣政府西南方  45.2  公里 (位於宜蘭縣南澳鄉)
小區域,2018/3/28 上午 09:00:00,121.73,24.41,7.9,3.4,宜蘭縣政府南方  36.0  公里 (位於宜蘭縣南澳鄉)
小區域,2018/3/26 下午 09:18:00,121.5,24.41,6.9,2.5,宜蘭縣政府西南方  45.1  公里 (位於宜蘭縣南澳鄉)
074   ,2018/3/22 下午 10:27:00,120.62,23.59,7.7,4.7,雲林縣政府東南方  15.2  公里 (位於嘉義縣梅山鄉)
073   ,2018/3/21 下午 06:44:00,121.84,24.54,8.5,3.6,宜蘭縣政府南偏東方  23.0  公里 (位於宜蘭縣南澳鄉)
小區域,2018/3/21 下午 12:50:00,121.61,24.01,9.4,3.5,花蓮縣政府北偏西方  1.8  公里 (位於花蓮縣花蓮市)
小區域,2018/3/20 下午 08:40:00,121.84,24.53,8.5,3.2,宜蘭縣政府南偏東方  23.2  公里 (位於宜蘭縣南澳鄉)
072   ,2018/3/20 下午 05:22:00,120.54,23.3,11.2,5.3,嘉義市政府南偏東方  22.1  公里 (位於嘉義縣大埔鄉)
小區域,2018/3/19 下午 08:14:00,121.92,24.51,13.5,3.1,宜蘭縣政府東南方  29.4  公里 (位於宜蘭縣近海)
小區域,2018/3/18 下午 10:39:00,121.91,24.44,22.7,3.6,宜蘭縣政府南偏東方  35.8  公里 (位於臺灣東部海域)
小區域,2018/3/18 上午 10:59:00,121.38,23.2,18.1,4.2,臺東縣政府北偏東方  54.4  公里 (位於臺東縣成功鎮)
小區域,2018/3/17 上午 09:37:00,121.64,24.33,23.3,3.3,花蓮縣政府北方  37.8  公里 (位於花蓮縣秀林鄉)
小區域,2018/3/17 上午 09:01:00,121.64,24.34,23.6,3.5,花蓮縣政府北方  38.3  公里 (位於花蓮縣秀林鄉)
小區域,2018/3/16 下午 01:29:00,121.64,24.05,9.1,2.8,花蓮縣政府北偏東方  6.5  公里 (位於花蓮縣近海)
小區域,2018/3/15 下午 07:57:00,121.01,24.04,17.2,4.1,臺中市政府東偏南方  35.1  公里 (位於南投縣仁愛鄉)
小區域,2018/3/14 下午 09:03:00,121.83,24.15,5.7,4.2,花蓮縣政府東北方  27.9  公里 (位於臺灣東部海域)
小區域,2018/3/14 下午 07:04:00,121.81,24.16,6.8,3.9,花蓮縣政府東北方  26.7  公里 (位於臺灣東部海域)
小區域,2018/3/14 下午 06:48:00,121.84,24.15,8.3,4.3,花蓮縣政府東北方  27.9  公里 (位於臺灣東部海域)
小區域,2018/3/14 下午 02:07:00,120.8,22.34,8,3.6,屏東縣政府東南方  50.0  公里 (位於臺東縣達仁鄉)
小區域,2018/3/14 下午 12:34:00,120.8,22.34,7.8,3.2,屏東縣政府東南方  50.0  公里 (位於臺東縣達仁鄉)
小區域,2018/3/12 上午 08:15:00,120.81,23.19,6.2,3.5,嘉義市政府東南方  48.1  公里 (位於高雄市桃源區)
小區域,2018/3/11 下午 05:53:00,121.66,24.35,6.6,2.7,花蓮縣政府北方  39.6  公里 (位於宜蘭縣南澳鄉)
小區域,2018/3/10 下午 12:31:00,121.49,23.45,26,3.8,花蓮縣政府南偏西方  61.4  公里 (位於花蓮縣豐濱鄉)
小區域,2018/3/9 下午 09:45:00,121.64,24.01,7.4,3.7,花蓮縣政府東北方  2.6  公里 (位於花蓮縣花蓮市)
小區域,2018/3/9 下午 03:14:00,121.81,24.2,18.9,2.9,花蓮縣政府東北方  30.5  公里 (位於臺灣東部海域)
小區域,2018/3/8 下午 11:28:00,121.72,24.2,8.1,3.3,花蓮縣政府北偏東方  24.8  公里 (位於花蓮縣近海)
071   ,2018/3/6 下午 05:42:00,121.86,24.7,81.7,4.9,宜蘭縣政府東偏南方  10.7  公里 (位於宜蘭縣近海)
小區域,2018/3/6 下午 03:14:00,121.58,23.89,8.3,3.8,花蓮縣政府南偏西方  12.2  公里 (位於花蓮縣壽豐鄉)
小區域,2018/3/6 下午 03:08:00,121.57,23.89,8.2,3.1,花蓮縣政府南偏西方  12.1  公里 (位於花蓮縣壽豐鄉)
小區域,2018/3/6 下午 12:40:00,121.51,25.02,5.1,2.2,新北市政府東方  4.7  公里 (位於臺北市中正區)
小區域,2018/3/6 上午 11:22:00,121.58,23.97,7,2.9,花蓮縣政府西南方  4.5  公里 (位於花蓮縣吉安鄉)
小區域,2018/3/5 下午 10:40:00,121.7,24.25,12.4,2.4,花蓮縣政府北偏東方  29.3  公里 (位於花蓮縣秀林鄉)
小區域,2018/3/4 下午 11:19:00,121.64,24.05,8.2,2.5,花蓮縣政府北偏東方  6.9  公里 (位於花蓮縣近海)
小區域,2018/3/4 下午 02:32:00,121.76,21.9,23.6,4.4,臺東縣政府東南方  113.6  公里 (位於臺灣東南部海域)
小區域,2018/3/4 上午 11:20:00,121.73,24.18,8.2,3.3,花蓮縣政府北偏東方  23.4  公里 (位於花蓮縣近海)
小區域,2018/3/4 上午 10:32:00,121.79,23.92,3.2,3.2,花蓮縣政府東偏南方  19.1  公里 (位於臺灣東部海域)
070   ,2018/3/4 上午 01:35:00,121.71,24.18,10.1,4.9,花蓮縣政府北偏東方  22.7  公里 (位於花蓮縣近海)
小區域,2018/3/4 上午 01:20:00,121.84,24.46,8.6,2.8,宜蘭縣政府南偏東方  31.4  公里 (位於宜蘭縣近海)
小區域,2018/3/3 下午 05:09:00,120.58,23.06,8.4,3.5,臺南市政府東方  41.1  公里 (位於高雄市甲仙區)
小區域,2018/3/2 下午 07:45:00,121.6,24,6.4,2,花蓮縣政府西偏北方  2.6  公里 (位於花蓮縣花蓮市)
小區域,2018/3/2 上午 11:42:00,122.92,24.32,42.2,5.3,宜蘭縣政府東偏南方  126.4  公里 (位於臺灣東部海域)
小區域,2018/3/2 上午 01:47:00,121.58,23.96,7.7,2.4,花蓮縣政府西南方  4.8  公里 (位於花蓮縣吉安鄉)
小區域,2018/3/2 上午 12:49:00,121.56,24.18,23.8,2.8,花蓮縣政府北偏西方  21.8  公里 (位於花蓮縣秀林鄉)
小區域,2018/3/2 上午 12:10:00,121.73,24.68,8.7,2.8,宜蘭縣政府西南方  6.4  公里 (位於宜蘭縣冬山鄉)
小區域,2018/3/2 上午 12:08:00,121.6,23.94,10.4,2.3,花蓮縣政府南偏西方  6.1  公里 (位於花蓮縣壽豐鄉)
小區域,2018/3/1 下午 10:14:00,121.59,23.93,8.2,2.3,花蓮縣政府南偏西方  7.1  公里 (位於花蓮縣吉安鄉)
小區域,2018/3/1 下午 09:42:00,123.92,24.42,68.3,5.8,宜蘭縣政府東方  220.6  公里 (位於臺灣東部海域)
小區域,2018/3/1 上午 05:23:00,121.59,23.97,5.9,2.1,花蓮縣政府西偏南方  3.7  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/28 下午 12:09:00,121.81,24.2,8.3,3.6,花蓮縣政府東北方  29.8  公里 (位於臺灣東部海域)
小區域,2018/2/27 下午 11:35:00,121.5,23.38,31.3,3.7,花蓮縣政府南偏西方  68.7  公里 (位於臺東縣近海)
小區域,2018/2/26 下午 10:10:00,121.6,23.96,7.1,3.5,花蓮縣政府西南方  3.8  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/26 下午 02:56:00,121.67,23.39,28.7,4.1,花蓮縣政府南方  67.2  公里 (位於臺灣東部海域)
小區域,2018/2/26 上午 05:16:00,121.82,24.24,10.6,3.2,花蓮縣政府東北方  34.3  公里 (位於臺灣東部海域)
069   ,2018/2/26 上午 02:28:00,121.9,24.43,22.1,5.4,宜蘭縣政府南偏東方  35.8  公里 (位於臺灣東部海域)
小區域,2018/2/26 上午 01:27:00,121.58,23.89,7.9,2.8,花蓮縣政府南偏西方  11.8  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/25 下午 06:46:00,121.75,24.27,8.9,3.1,花蓮縣政府北偏東方  33.6  公里 (位於花蓮縣近海)
小區域,2018/2/25 上午 10:18:00,121.63,24,7,3.3,花蓮縣政府東北方  1.9  公里 (位於花蓮縣花蓮市)
小區域,2018/2/25 上午 10:03:00,121.57,23.83,22,3.6,花蓮縣政府南偏西方  18.6  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/25 上午 07:57:00,121.56,24.18,23.1,2.8,花蓮縣政府北偏西方  21.9  公里 (位於花蓮縣秀林鄉)
068   ,2018/2/25 上午 04:07:00,121.71,24.2,7.8,3.6,花蓮縣政府北偏東方  24.9  公里 (位於花蓮縣近海)
小區域,2018/2/25 上午 03:56:00,121.8,24.79,77.3,4.3,宜蘭縣政府東北方  7.5  公里 (位於宜蘭縣壯圍鄉)
小區域,2018/2/25 上午 12:52:00,121.59,24,6.3,2.2,花蓮縣政府西偏北方  3.4  公里 (位於花蓮縣花蓮市)
小區域,2018/2/23 下午 01:25:00,120.15,23.14,14.9,2.7,臺南市政府北偏西方  17.3  公里 (位於臺南市佳里區)
小區域,2018/2/22 下午 09:18:00,121.81,24.03,49,3.5,花蓮縣政府東偏北方  19.7  公里 (位於臺灣東部海域)
067   ,2018/2/22 上午 07:10:00,121.53,23.41,35.6,5.6,花蓮縣政府南方  64.6  公里 (位於臺東縣近海)
小區域,2018/2/22 上午 04:13:00,121.76,24.25,9.4,3.1,花蓮縣政府北偏東方  32.1  公里 (位於花蓮縣近海)
小區域,2018/2/21 下午 04:07:00,121.6,24.07,8.1,2.8,花蓮縣政府北偏西方  9.4  公里 (位於花蓮縣秀林鄉)
小區域,2018/2/21 下午 01:22:00,120.78,23.29,14.6,4,嘉義市政府東偏南方  39.4  公里 (位於高雄市桃源區)
小區域,2018/2/21 上午 08:01:00,121.6,24.07,8.1,3,花蓮縣政府北偏西方  9.4  公里 (位於花蓮縣秀林鄉)
小區域,2018/2/21 上午 04:23:00,121.56,23.9,8.8,2.6,花蓮縣政府南偏西方  11.9  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/20 下午 10:14:00,121.6,24.07,8.6,3.4,花蓮縣政府北偏西方  9.4  公里 (位於花蓮縣秀林鄉)
小區域,2018/2/20 下午 02:38:00,120.8,23.99,26.5,3.2,南投縣政府東北方  14.5  公里 (位於南投縣草屯鎮)
小區域,2018/2/20 下午 01:09:00,121,22.98,7,3.6,臺東縣政府西北方  29.3  公里 (位於臺東縣延平鄉)
小區域,2018/2/20 上午 08:00:00,121.7,24.13,10.5,3.3,花蓮縣政府北偏東方  17.8  公里 (位於花蓮縣近海)
小區域,2018/2/20 上午 06:58:00,121.71,24.13,9.2,3.2,花蓮縣政府北偏東方  18.1  公里 (位於花蓮縣近海)
066   ,2018/2/19 下午 10:47:00,121.61,24.59,52.7,5.5,宜蘭縣政府西南方  21.9  公里 (位於宜蘭縣大同鄉)
小區域,2018/2/19 下午 04:27:00,121.1,23.86,26.8,3.2,南投縣政府東方  42.2  公里 (位於南投縣仁愛鄉)
065   ,2018/2/19 上午 03:21:00,121.1,23.86,27.5,4.6,南投縣政府東方  41.8  公里 (位於南投縣仁愛鄉)
小區域,2018/2/18 上午 05:10:00,121.51,23.88,10.7,2.5,花蓮縣政府西南方  16.4  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/18 上午 04:56:00,121.77,24.23,15.7,3.1,花蓮縣政府北偏東方  30.8  公里 (位於花蓮縣近海)
小區域,2018/2/18 上午 12:15:00,121.59,23.99,7.8,2.2,花蓮縣政府西方  3.1  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/17 下午 05:06:00,121.32,22.63,20.4,4.5,臺東縣政府東南方  22.0  公里 (位於臺灣東部海域)
小區域,2018/2/17 上午 07:44:00,121.59,23.97,6.9,2.5,花蓮縣政府西南方  3.8  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/17 上午 03:48:00,121.77,24.18,14.4,3.8,花蓮縣政府東北方  26.3  公里 (位於臺灣東部海域)
小區域,2018/2/16 下午 06:49:00,121.77,24.23,15.8,3.3,花蓮縣政府北偏東方  30.9  公里 (位於花蓮縣近海)
小區域,2018/2/16 下午 03:49:00,121.56,23.91,9.1,3.5,花蓮縣政府西南方  10.8  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/16 下午 02:12:00,121.62,24.02,7.3,3,花蓮縣政府北方  3.6  公里 (位於花蓮縣花蓮市)
小區域,2018/2/16 上午 09:48:00,121.58,23.97,6.6,2.4,花蓮縣政府西偏南方  4.5  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/16 上午 07:34:00,121.71,24.21,8.6,4,花蓮縣政府北偏東方  25.3  公里 (位於花蓮縣近海)
064   ,2018/2/16 上午 12:55:00,121.8,24.27,11.9,2.9,花蓮縣政府北偏東方  36.3  公里 (位於花蓮縣近海)
小區域,2018/2/16 上午 12:51:00,121.8,24.28,11.9,3,花蓮縣政府北偏東方  36.4  公里 (位於花蓮縣近海)
小區域,2018/2/15 下午 03:12:00,121.47,23.94,19.6,3.1,花蓮縣政府西偏南方  16.1  公里 (位於花蓮縣秀林鄉)
小區域,2018/2/15 下午 12:17:00,121.69,24.15,10.8,3.2,花蓮縣政府北偏東方  18.8  公里 (位於花蓮縣近海)
小區域,2018/2/15 上午 06:40:00,121.77,24.17,14.4,3.1,花蓮縣政府東北方  25.4  公里 (位於臺灣東部海域)
小區域,2018/2/15 上午 04:36:00,121.78,24.17,14.7,3.8,花蓮縣政府東北方  25.8  公里 (位於臺灣東部海域)
小區域,2018/2/15 上午 03:08:00,121.75,24.24,9.8,2.9,花蓮縣政府北偏東方  30.7  公里 (位於花蓮縣近海)
小區域,2018/2/15 上午 02:27:00,121.81,24.18,7.7,4.3,花蓮縣政府東北方  28.5  公里 (位於臺灣東部海域)
小區域,2018/2/15 上午 01:32:00,121.6,23.98,5.7,2.7,花蓮縣政府西南方  2.3  公里 (位於花蓮縣花蓮市)
小區域,2018/2/14 下午 01:54:00,121.58,23.92,6.3,3.4,花蓮縣政府南偏西方  8.7  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/14 上午 08:32:00,121.57,23.9,9.8,2.6,花蓮縣政府南偏西方  11.6  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/14 上午 08:24:00,121.56,23.9,9.1,3.2,花蓮縣政府西南方  12.2  公里 (位於花蓮縣壽豐鄉)
063   ,2018/2/14 上午 08:21:00,121.57,23.89,9.5,4.2,花蓮縣政府南偏西方  12.4  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/14 上午 08:17:00,121.57,23.89,10.9,3.6,花蓮縣政府南偏西方  12.1  公里 (位於花蓮縣壽豐鄉)
062   ,2018/2/14 上午 08:16:00,121.56,23.89,9.2,3.7,花蓮縣政府南偏西方  12.8  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/14 上午 07:56:00,121.68,24.14,13.2,2.9,花蓮縣政府北偏東方  17.9  公里 (位於花蓮縣近海)
小區域,2018/2/13 下午 10:41:00,121.56,23.9,8.5,2.8,花蓮縣政府南偏西方  12.0  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/13 下午 01:37:00,121.69,24.1,10.1,2.9,花蓮縣政府北偏東方  14.2  公里 (位於花蓮縣近海)
小區域,2018/2/13 上午 10:57:00,121.57,23.9,8.1,3.3,花蓮縣政府南偏西方  11.7  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/13 上午 10:51:00,121.58,23.92,11.7,2.8,花蓮縣政府南偏西方  8.5  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/13 上午 09:27:00,121.63,24.04,7.8,3.3,花蓮縣政府北偏東方  6.0  公里 (位於花蓮縣近海)
小區域,2018/2/13 上午 09:24:00,121.59,23.91,11.9,2.6,花蓮縣政府南偏西方  9.4  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/13 上午 09:13:00,121.59,23.94,9.4,2.2,花蓮縣政府南偏西方  6.6  公里 (位於花蓮縣吉安鄉)
061   ,2018/2/13 上午 08:03:00,121.58,23.93,8.6,3.6,花蓮縣政府西南方  7.6  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/13 上午 04:19:00,121.57,23.93,9.3,2.7,花蓮縣政府西南方  8.5  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/13 上午 04:01:00,121.57,23.93,9.6,2.9,花蓮縣政府西南方  8.7  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/13 上午 03:20:00,121.61,24.32,26.2,3.3,花蓮縣政府北方  36.6  公里 (位於花蓮縣秀林鄉)
小區域,2018/2/13 上午 12:32:00,121.75,24.22,17.3,3.1,花蓮縣政府北偏東方  28.4  公里 (位於花蓮縣近海)
小區域,2018/2/13 上午 12:00:00,121.57,24.03,6.9,3,花蓮縣政府西北方  6.6  公里 (位於花蓮縣秀林鄉)
小區域,2018/2/12 下午 09:59:00,121.56,23.89,9.6,3.1,花蓮縣政府南偏西方  12.5  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/12 下午 08:43:00,121.58,24,4.2,2.3,花蓮縣政府西方  4.1  公里 (位於花蓮縣花蓮市)
小區域,2018/2/12 下午 07:28:00,121.73,24.22,11.2,3.7,花蓮縣政府北偏東方  27.3  公里 (位於花蓮縣近海)
小區域,2018/2/12 下午 06:43:00,121.6,24.03,9.1,2.8,花蓮縣政府北偏西方  4.3  公里 (位於花蓮縣新城鄉)
小區域,2018/2/12 下午 02:30:00,121.56,23.91,9.7,2.8,花蓮縣政府西南方  11.1  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/12 下午 12:47:00,121.76,24.21,16.9,3.4,花蓮縣政府北偏東方  28.1  公里 (位於花蓮縣近海)
小區域,2018/2/12 下午 12:45:00,121.77,24.22,17.1,3.8,花蓮縣政府北偏東方  29.2  公里 (位於花蓮縣近海)
小區域,2018/2/12 上午 11:54:00,121.76,24.22,17,3.6,花蓮縣政府北偏東方  29.0  公里 (位於花蓮縣近海)
小區域,2018/2/12 上午 11:28:00,121.76,24.22,16.8,3.6,花蓮縣政府北偏東方  28.5  公里 (位於花蓮縣近海)
小區域,2018/2/12 上午 11:25:00,121.75,24.22,16.5,2.9,花蓮縣政府北偏東方  28.1  公里 (位於花蓮縣近海)
小區域,2018/2/12 上午 10:26:00,121.79,24.02,4.3,3.9,花蓮縣政府東方  17.2  公里 (位於臺灣東部海域)
小區域,2018/2/12 上午 09:45:00,121.6,24,5.2,2.2,花蓮縣政府西偏北方  1.9  公里 (位於花蓮縣花蓮市)
小區域,2018/2/12 上午 06:38:00,121.57,23.94,10.6,2.2,花蓮縣政府西南方  8.0  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/12 上午 05:36:00,121.56,23.9,9.3,2.6,花蓮縣政府南偏西方  11.9  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/12 上午 05:34:00,121.56,23.93,11.7,2.1,花蓮縣政府西南方  8.6  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/12 上午 05:34:00,121.57,23.93,9.5,2.4,花蓮縣政府西南方  8.3  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/11 下午 10:36:00,121.92,24.43,23,3.8,宜蘭縣政府南偏東方  36.9  公里 (位於臺灣東部海域)
小區域,2018/2/11 下午 06:38:00,121.58,23.96,8.4,3.4,花蓮縣政府西南方  5.1  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/11 下午 05:54:00,121.76,24.24,9.7,3.3,花蓮縣政府北偏東方  31.1  公里 (位於花蓮縣近海)
小區域,2018/2/11 下午 05:34:00,121.57,23.94,9,3.1,花蓮縣政府西南方  7.9  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/11 下午 04:20:00,121.58,23.96,9.4,2.9,花蓮縣政府西南方  5.7  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/11 下午 04:20:00,121.58,23.94,8.2,3.9,花蓮縣政府西南方  6.8  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/11 下午 04:13:00,121.57,23.89,9.1,2.9,花蓮縣政府南偏西方  12.8  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/11 下午 03:42:00,121.56,23.9,9.5,3.6,花蓮縣政府南偏西方  11.4  公里 (位於花蓮縣壽豐鄉)
060   ,2018/2/11 下午 03:39:00,121.57,23.91,8.5,4.2,花蓮縣政府南偏西方  10.8  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/11 下午 01:22:00,121.57,23.89,6.7,3.2,花蓮縣政府南偏西方  12.3  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/11 上午 10:45:00,120.67,22.83,18.2,3.1,屏東縣政府東北方  24.4  公里 (位於屏東縣三地門鄉)
小區域,2018/2/11 上午 07:07:00,121.56,23.91,10.7,2.8,花蓮縣政府西南方  11.1  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/11 上午 06:27:00,121.55,23.9,10.4,3.5,花蓮縣政府西南方  12.4  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/11 上午 06:11:00,121.46,23.9,17.1,2.7,花蓮縣政府西偏南方  19.4  公里 (位於花蓮縣秀林鄉)
小區域,2018/2/11 上午 04:53:00,121.62,24.03,8.6,2.6,花蓮縣政府北方  4.1  公里 (位於花蓮縣新城鄉)
小區域,2018/2/11 上午 01:55:00,121.59,23.97,8,3.4,花蓮縣政府西南方  3.5  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/11 上午 12:26:00,121.57,23.95,9.6,2,花蓮縣政府西南方  6.5  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/11 上午 12:25:00,121.57,23.95,8.8,3.1,花蓮縣政府西南方  6.6  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/10 下午 08:14:00,121.57,23.92,9.8,2.5,花蓮縣政府西南方  9.5  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/10 下午 06:37:00,121.71,24.2,10.9,3.5,花蓮縣政府北偏東方  25.2  公里 (位於花蓮縣近海)
小區域,2018/2/10 下午 06:15:00,121.67,24.1,8.7,3.6,花蓮縣政府北偏東方  13.0  公里 (位於花蓮縣近海)
小區域,2018/2/10 下午 06:09:00,121.75,24.16,11.3,3.2,花蓮縣政府東北方  22.2  公里 (位於花蓮縣近海)
小區域,2018/2/10 下午 04:42:00,121.6,23.97,8.2,3.6,花蓮縣政府西南方  3.1  公里 (位於花蓮縣花蓮市)
059   ,2018/2/10 下午 03:48:00,121.84,24.23,10.9,4.7,花蓮縣政府東北方  34.3  公里 (位於臺灣東部海域)
小區域,2018/2/10 下午 03:37:00,121.59,23.96,9,3.7,花蓮縣政府西南方  5.0  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/10 下午 03:10:00,121.77,24.18,9.1,3.8,花蓮縣政府東北方  26.1  公里 (位於臺灣東部海域)
小區域,2018/2/10 下午 02:44:00,121.65,24.02,7.6,3,花蓮縣政府東北方  4.0  公里 (位於花蓮縣近海)
小區域,2018/2/10 下午 01:55:00,121.64,24.03,6.6,2.7,花蓮縣政府北偏東方  5.1  公里 (位於花蓮縣近海)
小區域,2018/2/10 下午 01:16:00,121.61,24.03,6.7,2.8,花蓮縣政府北偏西方  4.0  公里 (位於花蓮縣新城鄉)
小區域,2018/2/10 上午 11:59:00,121.57,23.89,7.4,2.8,花蓮縣政府南偏西方  12.5  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/10 上午 11:56:00,121.57,23.89,7.9,3.8,花蓮縣政府南偏西方  12.5  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/10 上午 10:24:00,121.61,24,8.1,3.2,花蓮縣政府西偏北方  1.3  公里 (位於花蓮縣花蓮市)
小區域,2018/2/10 上午 09:31:00,121.58,23.96,8.2,2.1,花蓮縣政府西南方  5.1  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/10 上午 09:01:00,121.66,24.04,7.4,2.9,花蓮縣政府東北方  6.8  公里 (位於花蓮縣近海)
小區域,2018/2/10 上午 08:55:00,121.63,24.04,8,3.6,花蓮縣政府北方  5.8  公里 (位於花蓮縣近海)
小區域,2018/2/10 上午 06:31:00,121.58,23.99,9.2,2.4,花蓮縣政府西方  4.0  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/10 上午 05:51:00,121.58,23.99,8.1,2.5,花蓮縣政府西方  4.5  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/10 上午 05:26:00,121.58,23.98,8.3,3.7,花蓮縣政府西偏南方  3.9  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/10 上午 04:25:00,121.6,23.98,9.4,3.6,花蓮縣政府西偏南方  2.8  公里 (位於花蓮縣花蓮市)
058   ,2018/2/10 上午 02:43:00,121.81,24.03,5.8,4.7,花蓮縣政府東方  20.1  公里 (位於臺灣東部海域)
小區域,2018/2/10 上午 01:33:00,121.7,24.22,12.3,3.1,花蓮縣政府北偏東方  26.6  公里 (位於花蓮縣近海)
小區域,2018/2/10 上午 12:37:00,121.6,23.99,7.6,2.4,花蓮縣政府西偏南方  2.5  公里 (位於花蓮縣花蓮市)
小區域,2018/2/9 下午 10:45:00,121.8,24.02,6.8,4.2,花蓮縣政府東方  19.0  公里 (位於臺灣東部海域)
小區域,2018/2/9 下午 07:21:00,121.83,24.04,6.9,3.9,花蓮縣政府東偏北方  21.7  公里 (位於臺灣東部海域)
小區域,2018/2/9 下午 02:03:00,121.6,23.97,7.6,2.7,花蓮縣政府西南方  3.0  公里 (位於花蓮縣花蓮市)
小區域,2018/2/9 下午 01:59:00,121.6,23.97,7.6,2.8,花蓮縣政府西南方  3.2  公里 (位於花蓮縣花蓮市)
小區域,2018/2/9 下午 12:05:00,121.59,23.94,17.7,2.8,花蓮縣政府南偏西方  6.3  公里 (位於花蓮縣吉安鄉)
小區域,2018/2/9 上午 11:56:00,121.6,23.92,22.7,4.1,花蓮縣政府南偏西方  8.7  公里 (位於花蓮縣壽豐鄉)
小區域,2018/2/9 上午 11:35:00,121.71,24.11,8.8,3.3,花蓮縣政府東北方  15.7  公里 (位於花蓮縣近海)
057   ,2018/2/9 上午 10:14:00,121.6,23.93,21.6,4.7,花蓮縣政府南偏西方  7.4  公里 (位於花蓮縣壽豐鄉)
